Date,Narration,Debit Amount,Credit Amount
01/01/2025,Salary January 2025,,40000
02/01/2025,Rent EMI January,,
03/01/2025,House Rent Payment,10000,
04/01/2025,UPI-Zomato Food Order,350,
05/01/2025,UPI-Swiggy Dinner,280,
06/01/2025,Blinkit Grocery Order,1200,
07/01/2025,UPI-Rapido Cab,150,
08/01/2025,Amazon Shopping Order,1500,
09/01/2025,Electricity Bill Payment,800,
10/01/2025,UPI-Zomato Lunch,220,
11/01/2025,Bigbasket Grocery,950,
12/01/2025,Uber Cab Booking,200,
13/01/2025,Netflix Subscription,199,
14/01/2025,UPI-Restaurant Nandhana,600,
15/01/2025,Internet Bill Payment,499,
16/01/2025,Petrol Fuel Station,500,
17/01/2025,Flipkart Shopping,800,
18/01/2025,UPI-Swiggy Breakfast,180,
19/01/2025,Apollo Pharma Medical,450,
20/01/2025,Blinkit Grocery Order,700,
21/01/2025,UPI-Zomato Dinner,320,
22/01/2025,Ola Cab Booking,180,
23/01/2025,Spotify Music,119,
24/01/2025,Water Bill Payment,200,
25/01/2025,Amazon Shopping,650,
26/01/2025,UPI-Cafe Coffee,120,
27/01/2025,Doctor Consultation Fee,500,
28/01/2025,Uber Cab Booking,250,
29/01/2025,UPI-Swiggy Lunch,260,
30/01/2025,Bigbasket Grocery,850,
31/01/2025,Movie Entertainment Ticket,300,
